Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Florey,"(-35.220606, 149.043539)",22/05/2022 05:00:00 AM,0.005,0.002,0.002,0.002,0.81,15.93,11.85,13.52,9.8,9,4,2,3,4,27,39,39,22 May 2022,5:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 05:00:00 AM,,0.007,0.007,0.004,0,5.94,5.28,8.03,5.56,0,0,7,9,7,16,22,22,22 May 2022,5:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 06:00:00 AM,,0.008,0.007,0.005,0,5.55,4.35,8.07,5.58,0,0,8,9,8,16,22,22,22 May 2022,6:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 06:00:00 AM,0.004,0.002,0.002,0.002,0.78,13.11,9.14,13.58,10.05,8,3,2,3,4,27,40,40,22 May 2022,6:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 07:00:00 AM,,0.007,0.007,0.006,0,5.07,3.43,8.05,5.56,0,0,7,9,9,16,22,22,22 May 2022,7:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 07:00:00 AM,0.003,0.003,0.002,0.002,0.74,11.64,7.5,13.59,9.93,8,3,3,3,4,27,39,39,22 May 2022,7:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 08:00:00 AM,0.003,0.003,0.002,0.002,0.7,10.31,3.45,13.5,9.61,7,2,3,3,4,27,38,38,22 May 2022,8:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 08:00:00 AM,,0.007,0.007,0.007,0,4.09,3.51,7.84,5.53,0,0,7,9,10,15,22,22,22 May 2022,8:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 09:00:00 AM,0.003,0.007,0.004,0.003,0.67,9.88,6.53,13.54,9.69,7,3,7,5,5,27,38,38,22 May 2022,9:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 09:00:00 AM,,0.009,0.008,0.007,0,0,3.35,7.54,5.5,0,0,9,10,11,15,22,22,22 May 2022,9:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 11:00:00 AM,0.001,0.019,0.011,0.007,0.61,6.28,0,13.56,9.83,6,0,19,14,10,27,39,39,22 May 2022,11:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 11:00:00 AM,,0.014,0.01,0.009,0,0,6.31,7.47,5.48,0,0,14,13,13,14,21,21,22 May 2022,11:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 12:00:00 PM,0,0.024,0.016,0.009,0.58,3.85,0,13.45,9.9,6,0,24,20,15,26,39,39,22 May 2022,12:00:00
Civic,"(-35.285307, 149.131579)",22/05/2022 12:00:00 PM,,0.02,0.013,0.01,0,0,4.62,7.26,5.49,0,0,20,17,16,14,21,21,22 May 2022,12:00:00
Florey,"(-35.220606, 149.043539)",22/05/2022 01:00:00 PM,0,0.027,0.021,0.012,0.56,1.61,0,13.23,9.59,6,0,27,27,19,26,38,38,22 May 2022,13:00:00
